id,브랜드,차종,연식,세부모델,category,name,price
53,벤츠,A-Class,2025,기본형,battery,배터리 교체 (수입차전용),220000
54,벤츠,A-Class,2025,기본형,inspection,기본 무상 점검 (이벤트),0
55,벤츠,A-Class,2025,프리미엄,engine,엔진오일 교환 (기본 합성유),150000
56,벤츠,A-Class,2025,프리미엄,engine,엔진 플러싱 및 첨가제,80000
57,벤츠,A-Class,2025,프리미엄,brake,앞 브레이크 패드 교환,120000
58,벤츠,A-Class,2025,프리미엄,brake,뒤 브레이크 패드/센서 교환,140000
59,벤츠,A-Class,2025,프리미엄,brake,브레이크 오일 1:1 교환,90000
60,벤츠,A-Class,2025,프리미엄,transmission,미션오일 교환 패키지,350000
61,벤츠,A-Class,2025,프리미엄,filter,실내 에어컨/히터 필터,50000
62,벤츠,A-Class,2025,프리미엄,battery,배터리 교체 (수입차전용),220000
63,벤츠,A-Class,2025,프리미엄,inspection,기본 무상 점검 (이벤트),0
64,벤츠,A-Class,2025,스포츠,engine,엔진오일 교환 (기본 합성유),150000
65,벤츠,A-Class,2025,스포츠,engine,엔진 플러싱 및 첨가제,80000
66,벤츠,A-Class,2025,스포츠,brake,앞 브레이크 패드 교환,120000
67,벤츠,A-Class,2025,스포츠,brake,뒤 브레이크 패드/센서 교환,140000
68,벤츠,A-Class,2025,스포츠,brake,브레이크 오일 1:1 교환,90000
69,벤츠,A-Class,2025,스포츠,transmission,미션오일 교환 패키지,350000
70,벤츠,A-Class,2025,스포츠,filter,실내 에어컨/히터 필터,50000
71,벤츠,A-Class,2025,스포츠,battery,배터리 교체 (수입차전용),220000
72,벤츠,A-Class,2025,스포츠,inspection,기본 무상 점검 (이벤트),0
73,벤츠,A-Class,2024,기본형,engine,엔진오일 교환 (기본 합성유),150000
74,벤츠,A-Class,2024,기본형,engine,엔진 플러싱 및 첨가제,80000
75,벤츠,A-Class,2024,기본형,brake,앞 브레이크 패드 교환,120000
76,벤츠,A-Class,2024,기본형,brake,뒤 브레이크 패드/센서 교환,140000
77,벤츠,A-Class,2024,기본형,brake,브레이크 오일 1:1 교환,90000
78,벤츠,A-Class,2024,기본형,transmission,미션오일 교환 패키지,350000
79,벤츠,A-Class,2024,기본형,filter,실내 에어컨/히터 필터,50000
80,벤츠,A-Class,2024,기본형,battery,배터리 교체 (수입차전용),220000
81,벤츠,A-Class,2024,기본형,inspection,기본 무상 점검 (이벤트),0
82,벤츠,A-Class,2024,프리미엄,engine,엔진오일 교환 (기본 합성유),150000
83,벤츠,A-Class,2024,프리미엄,engine,엔진 플러싱 및 첨가제,80000
84,벤츠,A-Class,2024,프리미엄,brake,앞 브레이크 패드 교환,120000
85,벤츠,A-Class,2024,프리미엄,brake,뒤 브레이크 패드/센서 교환,140000
86,벤츠,A-Class,2024,프리미엄,brake,브레이크 오일 1:1 교환,90000
87,벤츠,A-Class,2024,프리미엄,transmission,미션오일 교환 패키지,350000
88,벤츠,A-Class,2024,프리미엄,filter,실내 에어컨/히터 필터,50000
89,벤츠,A-Class,2024,프리미엄,battery,배터리 교체 (수입차전용),220000
90,벤츠,A-Class,2024,프리미엄,inspection,기본 무상 점검 (이벤트),0
91,벤츠,A-Class,2024,스포츠,engine,엔진오일 교환 (기본 합성유),150000
92,벤츠,A-Class,2024,스포츠,engine,엔진 플러싱 및 첨가제,80000
93,벤츠,A-Class,2024,스포츠,brake,앞 브레이크 패드 교환,120000
94,벤츠,A-Class,2024,스포츠,brake,뒤 브레이크 패드/센서 교환,140000
95,벤츠,A-Class,2024,스포츠,brake,브레이크 오일 1:1 교환,90000
96,벤츠,A-Class,2024,스포츠,transmission,미션오일 교환 패키지,350000
97,벤츠,A-Class,2024,스포츠,filter,실내 에어컨/히터 필터,50000
98,벤츠,A-Class,2024,스포츠,battery,배터리 교체 (수입차전용),220000
99,벤츠,A-Class,2024,스포츠,inspection,기본 무상 점검 (이벤트),0
100,벤츠,A-Class,2023,기본형,engine,엔진오일 교환 (기본 합성유),150000
101,벤츠,A-Class,2023,기본형,engine,엔진 플러싱 및 첨가제,80000
102,벤츠,A-Class,2023,기본형,brake,앞 브레이크 패드 교환,120000
103,벤츠,A-Class,2023,기본형,brake,뒤 브레이크 패드/센서 교환,140000
104,벤츠,A-Class,2023,기본형,brake,브레이크 오일 1:1 교환,90000
105,벤츠,A-Class,2023,기본형,transmission,미션오일 교환 패키지,350000
106,벤츠,A-Class,2023,기본형,filter,실내 에어컨/히터 필터,50000
107,벤츠,A-Class,2023,기본형,battery,배터리 교체 (수입차전용),220000
108,벤츠,A-Class,2023,기본형,inspection,기본 무상 점검 (이벤트),0
109,벤츠,A-Class,2023,프리미엄,engine,엔진오일 교환 (기본 합성유),150000
110,벤츠,A-Class,2023,프리미엄,engine,엔진 플러싱 및 첨가제,80000
111,벤츠,A-Class,2023,프리미엄,brake,앞 브레이크 패드 교환,120000
112,벤츠,A-Class,2023,프리미엄,brake,뒤 브레이크 패드/센서 교환,140000
113,벤츠,A-Class,2023,프리미엄,brake,브레이크 오일 1:1 교환,90000
114,벤츠,A-Class,2023,프리미엄,transmission,미션오일 교환 패키지,350000
115,벤츠,A-Class,2023,프리미엄,filter,실내 에어컨/히터 필터,50000
116,벤츠,A-Class,2023,프리미엄,battery,배터리 교체 (수입차전용),220000
117,벤츠,A-Class,2023,프리미엄,inspection,기본 무상 점검 (이벤트),0
118,벤츠,A-Class,2023,스포츠,engine,엔진오일 교환 (기본 합성유),150000
119,벤츠,A-Class,2023,스포츠,engine,엔진 플러싱 및 첨가제,80000
120,벤츠,A-Class,2023,스포츠,brake,앞 브레이크 패드 교환,120000
121,벤츠,A-Class,2023,스포츠,brake,뒤 브레이크 패드/센서 교환,140000
122,벤츠,A-Class,2023,스포츠,brake,브레이크 오일 1:1 교환,90000
123,벤츠,A-Class,2023,스포츠,transmission,미션오일 교환 패키지,350000
124,벤츠,A-Class,2023,스포츠,filter,실내 에어컨/히터 필터,50000
125,벤츠,A-Class,2023,스포츠,battery,배터리 교체 (수입차전용),220000
126,벤츠,A-Class,2023,스포츠,inspection,기본 무상 점검 (이벤트),0
127,벤츠,A-Class,2022,기본형,engine,엔진오일 교환 (기본 합성유),150000
128,벤츠,A-Class,2022,기본형,engine,엔진 플러싱 및 첨가제,80000
129,벤츠,A-Class,2022,기본형,brake,앞 브레이크 패드 교환,120000
130,벤츠,A-Class,2022,기본형,brake,뒤 브레이크 패드/센서 교환,140000
131,벤츠,A-Class,2022,기본형,brake,브레이크 오일 1:1 교환,90000
132,벤츠,A-Class,2022,기본형,transmission,미션오일 교환 패키지,350000
133,벤츠,A-Class,2022,기본형,filter,실내 에어컨/히터 필터,50000
134,벤츠,A-Class,2022,기본형,battery,배터리 교체 (수입차전용),220000
135,벤츠,A-Class,2022,기본형,inspection,기본 무상 점검 (이벤트),0
136,벤츠,A-Class,2022,프리미엄,engine,엔진오일 교환 (기본 합성유),150000
137,벤츠,A-Class,2022,프리미엄,engine,엔진 플러싱 및 첨가제,80000
138,벤츠,A-Class,2022,프리미엄,brake,앞 브레이크 패드 교환,120000
139,벤츠,A-Class,2022,프리미엄,brake,뒤 브레이크 패드/센서 교환,140000
140,벤츠,A-Class,2022,프리미엄,brake,브레이크 오일 1:1 교환,90000
141,벤츠,A-Class,2022,프리미엄,transmission,미션오일 교환 패키지,350000
142,벤츠,A-Class,2022,프리미엄,filter,실내 에어컨/히터 필터,50000
143,벤츠,A-Class,2022,프리미엄,battery,배터리 교체 (수입차전용),220000
144,벤츠,A-Class,2022,프리미엄,inspection,기본 무상 점검 (이벤트),0
145,벤츠,A-Class,2022,스포츠,engine,엔진오일 교환 (기본 합성유),150000
146,벤츠,A-Class,2022,스포츠,engine,엔진 플러싱 및 첨가제,80000
147,벤츠,A-Class,2022,스포츠,brake,앞 브레이크 패드 교환,120000
148,벤츠,A-Class,2022,스포츠,brake,뒤 브레이크 패드/센서 교환,140000
149,벤츠,A-Class,2022,스포츠,brake,브레이크 오일 1:1 교환,90000
150,벤츠,A-Class,2022,스포츠,transmission,미션오일 교환 패키지,350000
151,벤츠,A-Class,2022,스포츠,filter,실내 에어컨/히터 필터,50000
152,벤츠,A-Class,2022,스포츠,battery,배터리 교체 (수입차전용),220000
153,벤츠,A-Class,2022,스포츠,inspection,기본 무상 점검 (이벤트),0
154,벤츠,A-Class,2021,기본형,engine,엔진오일 교환 (기본 합성유),150000
155,벤츠,A-Class,2021,기본형,engine,엔진 플러싱 및 첨가제,80000
156,벤츠,A-Class,2021,기본형,brake,앞 브레이크 패드 교환,120000
157,벤츠,A-Class,2021,기본형,brake,뒤 브레이크 패드/센서 교환,140000
158,벤츠,A-Class,2021,기본형,brake,브레이크 오일 1:1 교환,90000
159,벤츠,A-Class,2021,기본형,transmission,미션오일 교환 패키지,350000
160,벤츠,A-Class,2021,기본형,filter,실내 에어컨/히터 필터,50000
161,벤츠,A-Class,2021,기본형,battery,배터리 교체 (수입차전용),220000
162,벤츠,A-Class,2021,기본형,inspection,기본 무상 점검 (이벤트),0
163,벤츠,A-Class,2021,프리미엄,engine,엔진오일 교환 (기본 합성유),150000
164,벤츠,A-Class,2021,프리미엄,engine,엔진 플러싱 및 첨가제,80000
165,벤츠,A-Class,2021,프리미엄,brake,앞 브레이크 패드 교환,120000
166,벤츠,A-Class,2021,프리미엄,brake,뒤 브레이크 패드/센서 교환,140000
167,벤츠,A-Class,2021,프리미엄,brake,브레이크 오일 1:1 교환,90000
168,벤츠,A-Class,2021,프리미엄,transmission,미션오일 교환 패키지,350000
169,벤츠,A-Class,2021,프리미엄,filter,실내 에어컨/히터 필터,50000
170,벤츠,A-Class,2021,프리미엄,battery,배터리 교체 (수입차전용),220000
171,벤츠,A-Class,2021,프리미엄,inspection,기본 무상 점검 (이벤트),0
172,벤츠,A-Class,2021,스포츠,engine,엔진오일 교환 (기본 합성유),150000
173,벤츠,A-Class,2021,스포츠,engine,엔진 플러싱 및 첨가제,80000
174,벤츠,A-Class,2021,스포츠,brake,앞 브레이크 패드 교환,120000
175,벤츠,A-Class,2021,스포츠,brake,뒤 브레이크 패드/센서 교환,140000
176,벤츠,A-Class,2021,스포츠,brake,브레이크 오일 1:1 교환,90000
177,벤츠,A-Class,2021,스포츠,transmission,미션오일 교환 패키지,350000
178,벤츠,A-Class,2021,스포츠,filter,실내 에어컨/히터 필터,50000
179,벤츠,A-Class,2021,스포츠,battery,배터리 교체 (수입차전용),220000
180,벤츠,A-Class,2021,스포츠,inspection,기본 무상 점검 (이벤트),0
181,벤츠,A-Class,2020,기본형,engine,엔진오일 교환 (기본 합성유),150000
182,벤츠,A-Class,2020,기본형,engine,엔진 플러싱 및 첨가제,80000
183,벤츠,A-Class,2020,기본형,brake,앞 브레이크 패드 교환,120000
184,벤츠,A-Class,2020,기본형,brake,뒤 브레이크 패드/센서 교환,140000
185,벤츠,A-Class,2020,기본형,brake,브레이크 오일 1:1 교환,90000
186,벤츠,A-Class,2020,기본형,transmission,미션오일 교환 패키지,350000
187,벤츠,A-Class,2020,기본형,filter,실내 에어컨/히터 필터,50000
188,벤츠,A-Class,2020,기본형,battery,배터리 교체 (수입차전용),220000
189,벤츠,A-Class,2020,기본형,inspection,기본 무상 점검 (이벤트),0
190,벤츠,A-Class,2020,프리미엄,engine,엔진오일 교환 (기본 합성유),150000
191,벤츠,A-Class,2020,프리미엄,engine,엔진 플러싱 및 첨가제,80000
192,벤츠,A-Class,2020,프리미엄,brake,앞 브레이크 패드 교환,120000
193,벤츠,A-Class,2020,프리미엄,brake,뒤 브레이크 패드/센서 교환,140000
194,벤츠,A-Class,2020,프리미엄,brake,브레이크 오일 1:1 교환,90000
195,벤츠,A-Class,2020,프리미엄,transmission,미션오일 교환 패키지,350000
196,벤츠,A-Class,2020,프리미엄,filter,실내 에어컨/히터 필터,50000
197,벤츠,A-Class,2020,프리미엄,battery,배터리 교체 (수입차전용),220000
198,벤츠,A-Class,2020,프리미엄,inspection,기본 무상 점검 (이벤트),0
199,벤츠,A-Class,2020,스포츠,engine,엔진오일 교환 (기본 합성유),150000
200,벤츠,A-Class,2020,스포츠,engine,엔진 플러싱 및 첨가제,80000
201,벤츠,A-Class,2020,스포츠,brake,앞 브레이크 패드 교환,120000
202,벤츠,A-Class,2020,스포츠,brake,뒤 브레이크 패드/센서 교환,140000
203,벤츠,A-Class,2020,스포츠,brake,브레이크 오일 1:1 교환,90000
204,벤츠,A-Class,2020,스포츠,transmission,미션오일 교환 패키지,350000
205,벤츠,A-Class,2020,스포츠,filter,실내 에어컨/히터 필터,50000
206,벤츠,A-Class,2020,스포츠,battery,배터리 교체 (수입차전용),220000
207,벤츠,A-Class,2020,스포츠,inspection,기본 무상 점검 (이벤트),0
208,벤츠,A-Class,2019,기본형,engine,엔진오일 교환 (기본 합성유),150000
209,벤츠,A-Class,2019,기본형,engine,엔진 플러싱 및 첨가제,80000
210,벤츠,A-Class,2019,기본형,brake,앞 브레이크 패드 교환,120000
211,벤츠,A-Class,2019,기본형,brake,뒤 브레이크 패드/센서 교환,140000
212,벤츠,A-Class,2019,기본형,brake,브레이크 오일 1:1 교환,90000
213,벤츠,A-Class,2019,기본형,transmission,미션오일 교환 패키지,350000
214,벤츠,A-Class,2019,기본형,filter,실내 에어컨/히터 필터,50000
215,벤츠,A-Class,2019,기본형,battery,배터리 교체 (수입차전용),220000
216,벤츠,A-Class,2019,기본형,inspection,기본 무상 점검 (이벤트),0
217,벤츠,A-Class,2019,프리미엄,engine,엔진오일 교환 (기본 합성유),150000
218,벤츠,A-Class,2019,프리미엄,engine,엔진 플러싱 및 첨가제,80000
219,벤츠,A-Class,2019,프리미엄,brake,앞 브레이크 패드 교환,120000
220,벤츠,A-Class,2019,프리미엄,brake,뒤 브레이크 패드/센서 교환,140000
221,벤츠,A-Class,2019,프리미엄,brake,브레이크 오일 1:1 교환,90000
222,벤츠,A-Class,2019,프리미엄,transmission,미션오일 교환 패키지,350000
223,벤츠,A-Class,2019,프리미엄,filter,실내 에어컨/히터 필터,50000
224,벤츠,A-Class,2019,프리미엄,battery,배터리 교체 (수입차전용),220000
225,벤츠,A-Class,2019,프리미엄,inspection,기본 무상 점검 (이벤트),0
226,벤츠,A-Class,2019,스포츠,engine,엔진오일 교환 (기본 합성유),150000
227,벤츠,A-Class,2019,스포츠,engine,엔진 플러싱 및 첨가제,80000
228,벤츠,A-Class,2019,스포츠,brake,앞 브레이크 패드 교환,120000
229,벤츠,A-Class,2019,스포츠,brake,뒤 브레이크 패드/센서 교환,140000
230,벤츠,A-Class,2019,스포츠,brake,브레이크 오일 1:1 교환,90000
231,벤츠,A-Class,2019,스포츠,transmission,미션오일 교환 패키지,350000
232,벤츠,A-Class,2019,스포츠,filter,실내 에어컨/히터 필터,50000
233,벤츠,A-Class,2019,스포츠,battery,배터리 교체 (수입차전용),220000
234,벤츠,A-Class,2019,스포츠,inspection,기본 무상 점검 (이벤트),0
235,벤츠,A-Class,2018,기본형,engine,엔진오일 교환 (기본 합성유),150000
236,벤츠,A-Class,2018,기본형,engine,엔진 플러싱 및 첨가제,80000
237,벤츠,A-Class,2018,기본형,brake,앞 브레이크 패드 교환,120000
238,벤츠,A-Class,2018,기본형,brake,뒤 브레이크 패드/센서 교환,140000
239,벤츠,A-Class,2018,기본형,brake,브레이크 오일 1:1 교환,90000
240,벤츠,A-Class,2018,기본형,transmission,미션오일 교환 패키지,350000
241,벤츠,A-Class,2018,기본형,filter,실내 에어컨/히터 필터,50000
242,벤츠,A-Class,2018,기본형,battery,배터리 교체 (수입차전용),220000
243,벤츠,A-Class,2018,기본형,inspection,기본 무상 점검 (이벤트),0
244,벤츠,A-Class,2018,프리미엄,engine,엔진오일 교환 (기본 합성유),150000
245,벤츠,A-Class,2018,프리미엄,engine,엔진 플러싱 및 첨가제,80000
246,벤츠,A-Class,2018,프리미엄,brake,앞 브레이크 패드 교환,120000
247,벤츠,A-Class,2018,프리미엄,brake,뒤 브레이크 패드/센서 교환,140000
248,벤츠,A-Class,2018,프리미엄,brake,브레이크 오일 1:1 교환,90000
249,벤츠,A-Class,2018,프리미엄,transmission,미션오일 교환 패키지,350000
250,벤츠,A-Class,2018,프리미엄,filter,실내 에어컨/히터 필터,50000
251,벤츠,A-Class,2018,프리미엄,battery,배터리 교체 (수입차전용),220000
252,벤츠,A-Class,2018,프리미엄,inspection,기본 무상 점검 (이벤트),0
253,벤츠,A-Class,2018,스포츠,engine,엔진오일 교환 (기본 합성유),150000
254,벤츠,A-Class,2018,스포츠,engine,엔진 플러싱 및 첨가제,80000
255,벤츠,A-Class,2018,스포츠,brake,앞 브레이크 패드 교환,120000
256,벤츠,A-Class,2018,스포츠,brake,뒤 브레이크 패드/센서 교환,140000
257,벤츠,A-Class,2018,스포츠,brake,브레이크 오일 1:1 교환,90000
258,벤츠,A-Class,2018,스포츠,transmission,미션오일 교환 패키지,350000
259,벤츠,A-Class,2018,스포츠,filter,실내 에어컨/히터 필터,50000
260,벤츠,A-Class,2018,스포츠,battery,배터리 교체 (수입차전용),220000
261,벤츠,A-Class,2018,스포츠,inspection,기본 무상 점검 (이벤트),0
262,벤츠,A-Class,2017,기본형,engine,엔진오일 교환 (기본 합성유),150000
263,벤츠,A-Class,2017,기본형,engine,엔진 플러싱 및 첨가제,80000
264,벤츠,A-Class,2017,기본형,brake,앞 브레이크 패드 교환,120000
265,벤츠,A-Class,2017,기본형,brake,뒤 브레이크 패드/센서 교환,140000
266,벤츠,A-Class,2017,기본형,brake,브레이크 오일 1:1 교환,90000
267,벤츠,A-Class,2017,기본형,transmission,미션오일 교환 패키지,350000
268,벤츠,A-Class,2017,기본형,filter,실내 에어컨/히터 필터,50000
269,벤츠,A-Class,2017,기본형,battery,배터리 교체 (수입차전용),220000
270,벤츠,A-Class,2017,기본형,inspection,기본 무상 점검 (이벤트),0
271,벤츠,A-Class,2017,프리미엄,engine,엔진오일 교환 (기본 합성유),150000
272,벤츠,A-Class,2017,프리미엄,engine,엔진 플러싱 및 첨가제,80000
273,벤츠,A-Class,2017,프리미엄,brake,앞 브레이크 패드 교환,120000
274,벤츠,A-Class,2017,프리미엄,brake,뒤 브레이크 패드/센서 교환,140000
275,벤츠,A-Class,2017,프리미엄,brake,브레이크 오일 1:1 교환,90000
276,벤츠,A-Class,2017,프리미엄,transmission,미션오일 교환 패키지,350000
277,벤츠,A-Class,2017,프리미엄,filter,실내 에어컨/히터 필터,50000
278,벤츠,A-Class,2017,프리미엄,battery,배터리 교체 (수입차전용),220000
279,벤츠,A-Class,2017,프리미엄,inspection,기본 무상 점검 (이벤트),0
280,벤츠,A-Class,2017,스포츠,engine,엔진오일 교환 (기본 합성유),150000
281,벤츠,A-Class,2017,스포츠,engine,엔진 플러싱 및 첨가제,80000
282,벤츠,A-Class,2017,스포츠,brake,앞 브레이크 패드 교환,120000
283,벤츠,A-Class,2017,스포츠,brake,뒤 브레이크 패드/센서 교환,140000
284,벤츠,A-Class,2017,스포츠,brake,브레이크 오일 1:1 교환,90000
285,벤츠,A-Class,2017,스포츠,transmission,미션오일 교환 패키지,350000
286,벤츠,A-Class,2017,스포츠,filter,실내 에어컨/히터 필터,50000
287,벤츠,A-Class,2017,스포츠,battery,배터리 교체 (수입차전용),220000
288,벤츠,A-Class,2017,스포츠,inspection,기본 무상 점검 (이벤트),0
289,벤츠,A-Class,2016,기본형,engine,엔진오일 교환 (기본 합성유),150000
290,벤츠,A-Class,2016,기본형,engine,엔진 플러싱 및 첨가제,80000
291,벤츠,A-Class,2016,기본형,brake,앞 브레이크 패드 교환,120000
292,벤츠,A-Class,2016,기본형,brake,뒤 브레이크 패드/센서 교환,140000
293,벤츠,A-Class,2016,기본형,brake,브레이크 오일 1:1 교환,90000
294,벤츠,A-Class,2016,기본형,transmission,미션오일 교환 패키지,350000
295,벤츠,A-Class,2016,기본형,filter,실내 에어컨/히터 필터,50000
296,벤츠,A-Class,2016,기본형,battery,배터리 교체 (수입차전용),220000
297,벤츠,A-Class,2016,기본형,inspection,기본 무상 점검 (이벤트),0
298,벤츠,A-Class,2016,프리미엄,engine,엔진오일 교환 (기본 합성유),150000
299,벤츠,A-Class,2016,프리미엄,engine,엔진 플러싱 및 첨가제,80000
300,벤츠,A-Class,2016,프리미엄,brake,앞 브레이크 패드 교환,120000
301,벤츠,A-Class,2016,프리미엄,brake,뒤 브레이크 패드/센서 교환,140000
302,벤츠,A-Class,2016,프리미엄,brake,브레이크 오일 1:1 교환,90000
303,벤츠,A-Class,2016,프리미엄,transmission,미션오일 교환 패키지,350000
304,벤츠,A-Class,2016,프리미엄,filter,실내 에어컨/히터 필터,50000
305,벤츠,A-Class,2016,프리미엄,battery,배터리 교체 (수입차전용),220000
306,벤츠,A-Class,2016,프리미엄,inspection,기본 무상 점검 (이벤트),0
307,벤츠,A-Class,2016,스포츠,engine,엔진오일 교환 (기본 합성유),150000
308,벤츠,A-Class,2016,스포츠,engine,엔진 플러싱 및 첨가제,80000
309,벤츠,A-Class,2016,스포츠,brake,앞 브레이크 패드 교환,120000
310,벤츠,A-Class,2016,스포츠,brake,뒤 브레이크 패드/센서 교환,140000
311,벤츠,A-Class,2016,스포츠,brake,브레이크 오일 1:1 교환,90000
312,벤츠,A-Class,2016,스포츠,transmission,미션오일 교환 패키지,350000
313,벤츠,A-Class,2016,스포츠,filter,실내 에어컨/히터 필터,50000
314,벤츠,A-Class,2016,스포츠,battery,배터리 교체 (수입차전용),220000
315,벤츠,A-Class,2016,스포츠,inspection,기본 무상 점검 (이벤트),0
316,벤츠,A-Class,2015,기본형,engine,엔진오일 교환 (기본 합성유),150000
317,벤츠,A-Class,2015,기본형,engine,엔진 플러싱 및 첨가제,80000
318,벤츠,A-Class,2015,기본형,brake,앞 브레이크 패드 교환,120000
319,벤츠,A-Class,2015,기본형,brake,뒤 브레이크 패드/센서 교환,140000
320,벤츠,A-Class,2015,기본형,brake,브레이크 오일 1:1 교환,90000
321,벤츠,A-Class,2015,기본형,transmission,미션오일 교환 패키지,350000
322,벤츠,A-Class,2015,기본형,filter,실내 에어컨/히터 필터,50000
323,벤츠,A-Class,2015,기본형,battery,배터리 교체 (수입차전용),220000
324,벤츠,A-Class,2015,기본형,inspection,기본 무상 점검 (이벤트),0
325,벤츠,A-Class,2015,프리미엄,engine,엔진오일 교환 (기본 합성유),150000
326,벤츠,A-Class,2015,프리미엄,engine,엔진 플러싱 및 첨가제,80000
327,벤츠,A-Class,2015,프리미엄,brake,앞 브레이크 패드 교환,120000
328,벤츠,A-Class,2015,프리미엄,brake,뒤 브레이크 패드/센서 교환,140000
329,벤츠,A-Class,2015,프리미엄,brake,브레이크 오일 1:1 교환,90000
330,벤츠,A-Class,2015,프리미엄,transmission,미션오일 교환 패키지,350000
331,벤츠,A-Class,2015,프리미엄,filter,실내 에어컨/히터 필터,50000
332,벤츠,A-Class,2015,프리미엄,battery,배터리 교체 (수입차전용),220000
333,벤츠,A-Class,2015,프리미엄,inspection,기본 무상 점검 (이벤트),0
334,벤츠,A-Class,2015,스포츠,engine,엔진오일 교환 (기본 합성유),150000
335,벤츠,A-Class,2015,스포츠,engine,엔진 플러싱 및 첨가제,80000
336,벤츠,A-Class,2015,스포츠,brake,앞 브레이크 패드 교환,120000
337,벤츠,A-Class,2015,스포츠,brake,뒤 브레이크 패드/센서 교환,140000
338,벤츠,A-Class,2015,스포츠,brake,브레이크 오일 1:1 교환,90000
339,벤츠,A-Class,2015,스포츠,transmission,미션오일 교환 패키지,350000
340,벤츠,A-Class,2015,스포츠,filter,실내 에어컨/히터 필터,50000
